"","county","less_18","bet_18_34","bet_35_54","grt_55"
"1","Acadia",0,1,3,2
"2","Allen",0,1,0,0
"3","Assumption",0,1,0,0
"4","Avoyelles",0,0,1,1
"5","Beauregard",0,4,0,0
"6","Bossier",0,3,2,2
"7","Caddo",0,11,8,2
"8","Calcasieu",0,4,4,0
"9","Claiborne",0,0,1,0
"10","East Baton Rouge",0,9,14,0
"11","East Feliciana",0,2,0,1
"12","Evangeline",0,1,0,0
"13","Franklin",0,0,2,0
"14","Iberia",0,2,1,1
"15","Iberville",0,0,2,0
"16","Jackson",0,0,0,1
"17","Jefferson",2,10,11,4
"18","Lafayette",0,8,1,0
"19","Lafourche",0,0,1,1
"20","Lincoln",0,3,0,0
"21","Livingston",0,2,4,0
"22","Madison",0,1,0,0
"23","Morehouse",0,1,0,1
"24","Natchitoches",0,2,0,0
"25","Orleans",1,8,4,2
"26","Ouachita",0,3,4,1
"27","Pointe Coupee",0,0,1,0
"28","Rapides",0,4,3,2
"29","Red River",0,1,1,1
"30","Sabine",0,1,0,0
"31","St. Bernard",0,1,0,0
"32","St. Helena",0,0,1,0
"33","St. James",0,1,0,0
"34","St. John The Baptist",0,0,1,1
"35","St. Landry",0,0,1,0
"36","St. Martin",0,2,1,0
"37","St. Mary",0,0,2,0
"38","St. Tammany",0,5,2,1
"39","Tangipahoa",0,2,3,0
"40","Tensas",0,1,0,0
"41","Terrebonne",1,0,5,4
"42","Union",0,0,1,0
"43","Vermilion",0,0,1,0
"44","Vernon",0,0,1,1
"45","Washington",0,3,0,0
"46","Webster",0,0,0,1
"47","West Baton Rouge",0,1,4,0
"48","Winn",0,0,2,1
