"","county","male","female","unknown"
"1","Acadia",6,0,0
"2","Allen",1,0,0
"3","Assumption",1,0,0
"4","Avoyelles",2,0,0
"5","Beauregard",4,0,0
"6","Bossier",6,1,0
"7","Caddo",21,0,0
"8","Calcasieu",8,0,0
"9","Claiborne",1,0,0
"10","East Baton Rouge",23,0,0
"11","East Feliciana",3,0,0
"12","Evangeline",1,0,0
"13","Franklin",2,0,0
"14","Iberia",4,0,0
"15","Iberville",2,0,0
"16","Jackson",1,0,0
"17","Jefferson",26,1,0
"18","Lafayette",9,0,0
"19","Lafourche",2,0,0
"20","Lincoln",3,0,0
"21","Livingston",6,0,0
"22","Madison",1,0,0
"23","Morehouse",2,0,0
"24","Natchitoches",2,0,0
"25","Orleans",15,0,0
"26","Ouachita",8,0,0
"27","Pointe Coupee",1,0,0
"28","Rapides",8,0,1
"29","Red River",3,0,0
"30","Sabine",1,0,0
"31","St. Bernard",1,0,0
"32","St. Helena",1,0,0
"33","St. James",1,0,0
"34","St. John The Baptist",1,1,0
"35","St. Landry",1,0,0
"36","St. Martin",3,0,0
"37","St. Mary",2,0,0
"38","St. Tammany",8,0,0
"39","Tangipahoa",5,0,0
"40","Tensas",1,0,0
"41","Terrebonne",10,0,0
"42","Union",1,0,0
"43","Vermilion",1,0,0
"44","Vernon",1,1,0
"45","Washington",3,0,0
"46","Webster",1,0,0
"47","West Baton Rouge",4,1,0
"48","Winn",2,1,0
