agency_slug,agency_name,location
11th-da,11th District Attorney's Office,"30.9842977, -91.9623327"
13th-da,13th District Attorney's Office,"30.68895087250337, -92.27833746251149"
14th-judicial-district-court-da,14th Judicial District Court District Attorney's Office,"30.9842977, -91.9623327"
17th-da,17th District Attorney's Office,"30.9842977, -91.9623327"
19th-da,19th District Attorney's Office,"30.9842977, -91.9623327"
1st-circuit-court-of-appeal,1st Court of Appeal,"30.4618125190435, -91.18597064709638"
21st-da,21st District Attorney's Office,"30.9842977, -91.9623327"
22nd-da,22nd District Attorney's Office,"30.9842977, -91.9623327"
25th-da,25th District Attorney's Office,"30.9842977, -91.9623327"
25th-judicial-district-court,25th Judicial District Court,"29.5782993, -89.796121"
29th-judicial-district-court-da,29th Judicial District Court District Attorney's Office,"30.9842977, -91.9623327"
2nd-da,2nd District Attorney's Office,"30.9842977, -91.9623327"
3rd-circuit-court-of-appeal,3rd Circuit Court Of Appeal,"29.955935, -90.0663388"
3rd-judicial-district-court,3rd Judicial District Court,"30.9842977, -91.9623327"
40th-judicial-district-court,40th Judicial District Court,"30.9842977, -91.9623327"
42nd-judicial-district-court,42nd Judicial District Court,"30.9842977, -91.9623327"
4th-da,4th District Attorney's Office,"30.9842977, -91.9623327"
4th-judicial-district-court,4th Judicial District Court,"30.9842977, -91.9623327"
5th-judicial-district-court-district-attorneys-office,5th Judicial District Court District Attorney's Office,"30.9842977, -91.9623327"
6th-judicial-court,6th Judicial Court,"30.9842977, -91.9623327"
6th-judicial-district-court,6th Judicial District Court,"32.8044064878668, -91.170624448896"
7th-ward-marshal,7th Ward Marshal,"29.9781096, -90.0671475"
abbeville-city-marshal,Abbeville City Marshal,"29.9746502, -92.1342921"
abbeville-pd,Abbeville Police Department,"29.9733371, -92.1332287"
abita-springs-pd,Abita Springs Police Department,"30.4785257, -90.0375755"
acadia-constable,Acadia Constable,"29.7688198, -90.8014815"
acadia-so,Acadia Parish Sheriff's Office,"30.2077658, -92.3985308"
addis-pd,Addis Police Department,"30.3558504, -91.2602342"
agriculture-forestry,Agriculture and Forestry,"30.9842977, -91.9623327"
albany-pd,Albany Police Department,"30.9842977, -91.9623327"
alcohol-tobacco-control,Alcohol Tobacco Control,"30.4478257, -91.1052562"
alexandria-city-marshal,Alexandria City Marshal,"31.30878, -92.44495"
alexandria-fire-department,Alexandria Fire Department,"31.3032808, -92.4533432"
alexandria-pd,Alexandria Police Department,"31.3026801, -92.4532031"
allen-da,Allen District Attorney's Office,"30.9842977, -91.9623327"
allen-so,Allen Parish Sheriff's Office,"30.6231555, -92.7828216"
amite-pd,Amite Police Department,"30.7265747, -90.5089815"
amtrak-pd,Amtrak Police Department,"30.9842977, -91.9623327"
anacoco-pd,Anacoco Police Department,"31.2521279, -93.3412795"
angie-pd,Angie Police Department,"30.9842977, -91.9623327"
arcadia-pd,Arcadia Police Department,"30.9842977, -91.9623327"
arnaudville-pd,Arnaudville Police Department,"30.3964911, -91.9354799"
ascension-so,Ascension Parish Sheriff's Office,"30.2266452, -90.9126863"
assumption-so,Assumption Parish Sheriff's Office,"29.9406845, -91.0245461"
atchafalaya-levee-pd,Atchafalaya Levee Police Department,"30.4437205, -91.745798"
athens-pd,Athens Police Department,"30.9842977, -91.9623327"
attorney-generals-office,Attorney Generals Office,"30.9842977, -91.9623327"
audubon-sca,Audubon Sca,"30.4090817, -89.7839548"
avoyelles-so,Avoyelles Parish Sheriff's Office,"31.1155788, -92.0668171"
bnsf-railway-pd,BNSF Railway Police Department,"30.9842977, -91.9623327"
baker-pd,Baker Police Department,"30.5890461, -91.1654343"
baldwin-pd,Baldwin Police Department,"29.8432088, -91.5501741"
ball-pd,Ball Police Department,"31.407349, -92.409647"
barksdale-afb,Barksdale Air Force Base,"32.5018595, -93.6571416"
basile-pd,Basile Police Department,"30.4846974, -92.5922273"
baskin-pd,Baskin Police Department,"30.9842977, -91.9623327"
bastrop-marshal,Bastrop Marshal,"32.7562463, -91.8723497"
bastrop-pd,Bastrop Police Department,"32.7562463, -91.8723497"
baton-rouge-airport-pd,Baton Rouge Airport Police Department,"30.5323599, -91.151461"
baton-rouge-city-constable,Baton Rouge City Constable,"30.4455621, -91.1870827"
baton-rouge-city-court-probation,Baton Rouge City Court Probation,"30.4455701, -91.186777"
baton-rouge-community-college-university-pd,Baton Rouge Community College Police Department,"30.9842977, -91.9623327"
baton-rouge-fire-department,Baton Rouge Fire Department,"30.5222279, -91.150286"
baton-rouge-pd,Baton Rouge Police Department,"30.4514677, -91.1871466"
bayou-dorchett-correctional-center,Bayou Dorchett Correctional Center,"32.5662928, -93.4119742"
beauregard-so,Beauregard Parish Sheriff's Office,"30.8419222, -93.2839913"
benton-pd,Benton Police Department,"32.6967468, -93.7406627"
bernice-pd,Bernice Police Department,"32.820926, -92.6560675"
berwick-pd,Berwick Police Department,"29.6931067, -91.218881"
bienville-so,Bienville Parish Sheriff's Office,"32.5470902, -92.9252686"
blanchard-pd,Blanchard Police Department,"32.5834546, -93.8907792"
bogalusa-marshal,Bogalusa Marshal,"30.7910204, -89.8486858"
bogalusa-pd,Bogalusa Police Department,"30.7861619, -89.8605467"
bonita-pd,Bonita Police Department,"32.9212745, -91.6737403"
bossier-city-constable,Bossier City Constable,"32.5159852, -93.7321228"
bossier-city-marshal,Bossier City Marshal,"32.5159852, -93.7321228"
bossier-city-pd,Bossier City Police Department,"32.5256242, -93.713572"
bossier-community-college-university-pd,Bossier Community College University Police Department,"32.5159852, -93.7321228"
bossier-constable,Bossier Constable,"32.7551322, -93.6623239"
bossier-so,Bossier Parish Sheriff's Office,"32.7313872, -93.732886"
boyce-pd,Boyce Police Department,"31.390412, -92.669684"
breaux-bridge-pd,Breaux Bridge Police Department,"30.2728722, -91.9006848"
bridge-city-corrections-center,Bridge City Corrections Center,"29.9332605, -90.1700748"
broussard-fire-department,Broussard Fire Department,"30.1461756, -91.9593566"
broussard-pd,Broussard Police Department,"30.1467656, -91.9604876"
brusly-pd,Brusly Police Department,"30.385919, -91.2440566"
bunkie-pd,Bunkie Police Department,"30.9577359, -92.187276"
cn-railway-pd,CN Railway Police Department,"30.9842977, -91.9623327"
csx-railroad-pd,CSX Railroad Police Department,"30.46271325576703, -88.86959776044269"
caddo-animal-control,Caddo Animal Control,"32.5255366, -93.7699164"
caddo-constable,Caddo Constable,"32.7565316, -93.9737925"
caddo-da,Caddo District Attorney's Office,"32.5120665, -93.7497247"
caddo-fire-department,Caddo Fire Department,"32.7565316, -93.9737925"
caddo-juvenile-court,Caddo Juvenile Court,"32.7565316, -93.9737925"
caddo-so,Caddo Parish Sheriff's Office,"32.5130865, -93.7508126"
calcasieu-animal-services,Calcasieu Animal Services,"30.2266091, -93.1365125"
calcasieu-juvenile-justice,Calcasieu Juvenile Justice,"30.2089286, -93.3388917"
calcasieu-so,Calcasieu Parish Sheriff's Office,"30.2089286, -93.3388917"
caldwell-correctional-center,Caldwell Correctional Center,"32.036372, -92.1378506"
caldwell-da,Caldwell District Attorney's Office,"32.1052657, -92.0753255"
caldwell-so,Caldwell Parish Sheriff's Office,"32.1055873, -92.0744734"
cameron-so,Cameron Parish Sheriff's Office,"29.7997556, -93.3232047"
