history_id,uid,agency,left_reason,hire_date,left_date,switched_job
20,000895c426d041c29e5fb2ce7c6a0e52,delgado-community-college-university-pd,,3/9/2020,,True
cf1c4275d36a2ce03633562819ca9fc8,000df5bcda565c8f285a26de41acc02b,youth-development,,3/27/2006,,
988,001ef1dd95e730948a46a15bdf7d64ec,xavier-university-pd,,1/8/1988,,False
42692b465420dbcb9cd59c42333c5ec7,00237995f6e3f067521e09d213baa781,gretna-pd,,7/9/2021,,
1504,002b5ef5455ac44f91d3fbdc02b09fc0,new-orleans-pd,,1/1/1980,,False
305,0045d63a6cecdb8d342918d9dcc46d4f,covington-pd,,7/20/2021,,False
170,0046a635a79fdadbef371bc52d789f5c,houma-pd,,6/30/2021,,False
1721,004a956090b316b2198b771e8c176942,bossier-so,,3/16/2011,,False
fb250ea78c2ab17ecab873cc451cba35,005bdfe6da8adbdeed0eb1237a00c560,tangipahoa-so,,2/12/2018,,
fa00e450a58a31a0c9c9ff2a4814623b,005e17b75191d0b968e2ecfb0bfaf1ca,tulane-university-pd,,7/7/2022,,
8c574bb6f5c472555b0307b050ee43ff,006b73011a426db8a774658ce451db65,attorney-generals-office,,11/4/2019,,
8ea0b2bb6fbe60a6392cf678452c6673,007913ced02f5b37ee806802ff485a5a,terrebonne-so,,7/19/2021,,
53e5a8fc01287204dadd772d6137d926,007bf22763e1c5ff34ffa1275e345fc6,new-iberia-pd,,1/21/2020,,
9e6cea468276b9972aa1ad92fa3a8c0d,00899843feeff35509e786a045cb2687,st-landry-da,,1/2/2007,,
1302,008cc83ed0a1960729a22b406e1468e5,new-orleans-so,,9/20/2002,,False
da9100aeaaf22da33108e13beea14239,0096fb1ac4e51f43fc90a8bbecc53c61,terrebonne-so,,7/11/2022,,
4d79ea6a6e001816c6b9807dd98ca4e1,009ca72274c0f491a714608d60ab2599,orleans-constable,,2/3/2020,,
475,009ce8efdd9db6b5877234fc9094eec5,kenner-pd,,8/18/2003,,False
0c3169c3f875cc78d4fa28ce11c2410c,009de88d669658302679b3fbc0022307,westlake-pd,,8/22/2018,,
601,00ab9f0cdee2e20388d9dfde489938ec,houma-pd,,8/17/2020,,False
1017,00abc7b74b43873e874f47f1f2bfda08,denham-springs-pd,,5/19/2006,,False
1417,00c30c5da01a4fc87a947bec27c1a197,new-orleans-pd,,12/14/1997,10/15/2003,True
1649,00dfb8c037b0e75d45a53a2f0e0cc44f,louisiana-state-museum-pd,,1/31/1982,,True
44e268389d84d2fb5c5b9ac9f7267728,00ea3f8f5e1d612de41d26182a74d92d,franklinton-pd,,8/6/2018,,
8c5af25263ca3d04a60097bc32854bc8,00edd2f5fd197632e4e46921513129cb,orleans-da,,10/21/2019,,
bf8cb73cde1c208a29868ef1c7568daa,00ff37787130b109582f5e01f535d657,st-martin-so,,8/10/2017,,
4b5702864a07d5e56eb3d6ab99b00909,010f15f6d031f51e851e8e73acc362ce,bogalusa-pd,,8/7/2017,,
b875515acb55d1603934a8ff7c66a01c,011f3cb723ddf306b7bd79102b925276,iberville-so,,2/21/2022,,
77acc19869540cba2b5bea8fca64e546,0148ba92e68aa52ff7f162803650457f,iberville-so,,6/1/2022,,
186,0150cc065f41ae35bffc4cd050d96b43,houma-pd,,7/18/1999,,True
ff4b88bbd2841a2ae6963d97945e1623,015165cb7b5422fd69d667e17d38f0bc,port-vincent-pd,,7/11/2022,,
374,015abef0c3f6b9e57829d0b066ebdb1d,kenner-pd,,12/10/2001,,False
1613,015b2c5fb61e73c903d3c8667f5cb040,delgado-community-college-university-pd,,11/20/2006,,False
3de0ff1cee9256729d2ded51a28ea0fe,015fd7e373eedf9966f3d6aa91b6093b,evangeline-so,,2/8/2021,,
17b51808d4ff034b00ccc4117d212b7e,016c34d880aa09de71bfdfeed2e208f7,bienville-so,,12/10/2021,,
1848,018816f90a600d495c6c3b04ed088f57,new-iberia-pd,,9/28/2016,,True
b516fde58e0f19f39a59b204ce1cb49a,018eb7f1e64e77dca060e1c9ef60910e,grambling-university-pd,,4/1/2019,,
1219,0198e7df2eb9d312a8223a8af8063b93,new-orleans-so,,12/3/2013,3/5/2014,True
1537,019cf5bd6cdb4b9e520270c08d99c239,ponchatoula-pd,,7/9/2020,,False
1164,01a936f87f2402acf4b2a75ba072f721,out-of-state,,4/7/2014,11/1/2015,True
0d826a7bc2def4307e7802758bff7237,01c958f9efb95f8d4056ea490e27bda6,bernice-pd,,4/13/2021,,
