Source,Agency,Year Reported,,,,,,
Department,Abbeville Police Department,2015 - 2021,,,,,,
Department,Acadia Sheriff's Office,2018 - 2021,,,,,,
Department,Ascension Sheriff's Office,2019 - 2021,,,,,,
Department,Baker Police Department," 2014 - 2017, 2018 - 2020",,,,,,
Department,Baton Rouge Police Department,"2004 - 2009, 2018, 2021",,,,,,
Department,Baton Rouge Sheriff's Office,"2011 - 2015, 2018, 2016 - 2020",,,,,,
Department,Benton Police Department,"2004 - 2008, 2009 - 2014, 2015 - 2021",,,,,,
Department,Bossier City Police Department,2010 - 2021,,,,,,
Department,Cameron Sheriff's Office,"2013 - 2014,  2015 - 2019, 2020",,,,,,
Department,Denham Springs Police Department,2016 - 2021,,,,,,
Department,East Feliciana Sheriff's Office,2016 - 2023,,,,,,
Department,Erath Police Department,2018 - 2020,,,,,,
Department,Eunice Police Department,2019 - 2021,,,,,,
Department,Greenwood Police Department,2015 - 2020,,,,,,
Department,Hammond Police Department,"2004 - 2008, 2009 - 2014, 2015 - 2020",,,,,,
Department,Houma Police Department,"2017 - 2018, 2019 - 2021",,,,,,
Department,Jefferson Parish Sheriff's Office,2013 - 2022,,,,,,
Department,Lafayette Parish Sheriff's Office,"2006 - 2008, 2009 - 2014, 2015 - 2020",,,,,,
Department,Lake Charles Police Department,"2014 - 2017, 2018 - 2020",,,,,,
Department,LaSalle Parish Sheriff's Office,2022,,,,,,
Department,Lockport Police Department,2021,,,,,,
Department,Louisiana State Police Department,2019 - 2020,,,,,,
Department,Madisonville Police Department,2010 - 2020,,,,,,
Department,Maurice Police Department,2020 - 2021,,,,,,
Department,Morehouse Parish Sheriff's Office,2018 - 2021,,,,,,
Department,Natchitoches Parish Sheriff's Office,2018 - 2021,,,,,,
Department,New Orleans Harbor Police Department,2020,,,,,,
Department,New Orleans Police Department,1931 - 2020,,,,,,
Department,Orleans Parish Sheriff's Office,"2019, 2020, 2021, 2022",,,,,,
Department,Pineville Police Department,2015 - 2019,,,,,,
Department,Plaquemines Parish Sheriff's Office,"2019, 2016 - 2020",,,,,,
