"","victims_gender","victims_age","victims_race","date_of_incident_(month/day/year)","agency_responsible_for_death","latitude","longitude","lat_long"
"1","Male","Unknown","Unknown Race",2023-05-18,"Bastrop Police Department",NA,NA,"NA NA"
"2","Male","30","Black",2023-05-11,"Livingston Parish Sheriff's Office",NA,NA,"NA NA"
"3","Male","33","Black",2023-04-23,"Shreveport Police Department",NA,NA,"NA NA"
"4","Unknown","Unknown","Unknown Race",2023-04-23,"Pineville Police Department",NA,NA,"NA NA"
"5","Male","50","Unknown Race",2023-04-22,"Jefferson Parish Sheriff's Office",NA,NA,"NA NA"
"6","Male","Unknown","Unknown Race",2023-04-17,"Alexandria Police Department",NA,NA,"NA NA"
"7","Male","28","Black",2023-04-09,"Lafayette Police Department",NA,NA,"NA NA"
"8","Male","31","Unknown Race",2023-03-04,"Bossier City Police Department, Louisiana State Police, Bossier Parish Sheriff's Office, Haughton Police Department",NA,NA,"NA NA"
"9","Male","27","Unknown Race",2023-02-25,"Jefferson Sheriff's Office",NA,NA,"NA NA"
"10","Male","43","Black",2023-02-03,"Shreveport Police Department",NA,NA,"NA NA"
"11","Male","52","Hispanic",2022-12-09,"Louisiana State Police",30.4312,-91.1741,"30.4312 -91.1741"
"12","Male","41","Hispanic",2022-11-20,"West Baton Rouge Sheriff's Office",30.4948,-91.3092,"30.4948 -91.3092"
"13","Male","45","Black",2022-11-06,"Rapides Sheriff's Office",31.2995,-92.4351,"31.2995 -92.4351"
"14","Male","47","White",2022-10-30,"Tangipahoa Sheriff's Office",30.5192,-90.5227,"30.5192 -90.5227"
"15","Male","31","Black",2022-10-13,"Lake Charles Police Department",30.2192,-93.1958,"30.2192 -93.1958"
"16","Male","51","Black",2022-09-29,"U.S. Marshals Service, Louisiana State Police, East Baton Rouge Sheriff's Office",30.6144,-91.1786,"30.6144 -91.1786"
"17","Male","67","Unknown Race",2022-08-28,"Red River Sheriff's Office",NA,NA,"NA NA"
"18","Male","Unknown","Hispanic",2022-08-23,"Lafourche Sheriff's Office, Port Fourchon Harbor Police Department",29.4581,-90.3109,"29.4581 -90.3109"
