"","departments","count"
"1","Baton Rouge Police Department",12
"2","Jefferson Sheriff's Office",12
"3","Shreveport Police Department",12
"4","New Orleans Police Department",11
"5","Louisiana State Police",9
"6","East Baton Rouge Sheriff's Office",8
"7","Lake Charles Police Department",6
"8","Lafayette Police Department",5
"9","U.S. Marshals Service",4
"10","Kenner Police Department",3
"11","Ouachita Sheriff's Office",3
"12","Rapides Sheriff's Office",3
"13","East Feliciana Sheriff's Office",2
"14","Houma Police Department",2
"15","St. John the Baptist Sheriff's Office",2
"16","St. Martin Sheriff's Office",2
"17","West Baton Rouge Sheriff's Office",2
"18","Abbeville Police Department",1
"19","Alexandria Police Department",1
"20","Avoyelles Sheriff's Office",1
"21","Bastrop Police Department",1
"22","Beauregard Sheriff's Office",1
"23","Bogalusa Police Department",1
"24","Bossier City Police Department",1
"25","Brusly Police Department",1
"26","Caddo Sheriff's Office",1
"27","Calcasieu Sheriff's Office",1
"28","Carencro Police Department",1
"29","Clinton Police Department",1
"30","Converse Police Department",1
"31","Crowley Police Department",1
"32","East Jefferson Levee District Police Department",1
"33","Evangeline Sheriff's Office",1
"34","Federal Bureau of Investigation",1
"35","Iberia Sheriff's Office",1
"36","Iota Police Department",1
"37","Jackson Sheriff's Office",1
"38","Lincoln Sheriff's Office",1
"39","Livingston Parish Sheriff's Office",1
"40","Livonia Police Department",1
"41","Louisiana Department of Corrections",1
"42","Melville Police Department",1
"43","Monroe Police Department",1
"44","Opelousas Police Department",1
"45","Pointe Coupee Sheriff's Office",1
"46","Port Barre Police Department",1
"47","Red River Sheriff's Office",1
"48","Shreveport City Marshal",1
"49","Southern University of New Orleans Police Department",1
"50","St. Bernard Sheriff's Office",1
"51","St. Helena Sheriff's Office",1
"52","St. Landry Sheriff's Office",1
"53","Tangipahoa Sheriff's Department",1
"54","Terrebonne Parish Sheriff's Department",1
"55","Terrebonne Sheriff's Office",1
"56","U.S. Federal Bureau of Investigation",1
"57","US Marshals",1
"58","Vermilion Sheriff's Office",1
"59","Vernon Sheriff's Office",1
"60","West Monroe Police Department",1
