"","county","count_black","total.x","population_of_one_race.x","white_alone.x","black_or_african_american_alone.x","american_indian_and_alaska_native_alone.x","asian_alone.x","native_hawaiian_and_other_pacific_islander_alone.x","some_other_race_alone.x","population_of_two_or_more_races.x","population_of_two_races.x","white_black_or_african_american.x","white_american_indian_and_alaska_native.x","white_asian.x","white_native_hawaiian_and_other_pacific_islander.x","white_some_other_race.x","black_or_african_american_american_indian_and_alaska_native.x","black_or_african_american_asian.x","black_or_african_american_native_hawaiian_and_other_pacific_islander.x","black_or_african_american_some_other_race.x","american_indian_and_alaska_native_asian.x","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.x","american_indian_and_alaska_native_some_other_race.x","asian_native_hawaiian_and_other_pacific_islander.x","asian_some_other_race.x","native_hawaiian_and_other_pacific_islander_some_other_race.x","population_of_three_races.x","white_black_or_african_american_american_indian_and_alaska_native.x","white_black_or_african_american_asian.x","white_black_or_african_american_native_hawaiian_and_other_pacific_islander.x","white_black_or_african_american_some_other_race.x","white_american_indian_and_alaska_native_asian.x","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.x","white_american_indian_and_alaska_native_some_other_race.x","white_asian_native_hawaiian_and_other_pacific_islander.x","white_asian_some_other_race.x","white_native_hawaiian_and_other_pacific_islander_some_other_race.x","black_or_african_american_american_indian_and_alaska_native_asian.x","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.x","black_or_african_american_american_indian_and_alaska_native_some_other_race.x","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander.x","black_or_african_american_asian_some_other_race.x","black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race.x","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.x","american_indian_and_alaska_native_asian_some_other_race.x","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.x","asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","population_of_four_races.x","white_black_or_african_american_american_indian_and_alaska_native_asian.x","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.x","white_black_or_african_american_american_indian_and_alaska_native_some_other_race.x","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander.x","white_black_or_african_american_asian_some_other_race.x","white_black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race.x","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.x","white_american_indian_and_alaska_native_asian_some_other_race.x","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.x","white_asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.x","black_or_african_american_american_indian_and_alaska_native_asian_some_other_race.x","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.x","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","population_of_five_races.x","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.x","white_black_or_african_american_american_indian_and_alaska_native_asian_some_other_race.x","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.x","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","population_of_six_races.x","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.x","total_black.x","total_white.x","black_killed_per_huntho","count_white","total.y","population_of_one_race.y","white_alone.y","black_or_african_american_alone.y","american_indian_and_alaska_native_alone.y","asian_alone.y","native_hawaiian_and_other_pacific_islander_alone.y","some_other_race_alone.y","population_of_two_or_more_races.y","population_of_two_races.y","white_black_or_african_american.y","white_american_indian_and_alaska_native.y","white_asian.y","white_native_hawaiian_and_other_pacific_islander.y","white_some_other_race.y","black_or_african_american_american_indian_and_alaska_native.y","black_or_african_american_asian.y","black_or_african_american_native_hawaiian_and_other_pacific_islander.y","black_or_african_american_some_other_race.y","american_indian_and_alaska_native_asian.y","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.y","american_indian_and_alaska_native_some_other_race.y","asian_native_hawaiian_and_other_pacific_islander.y","asian_some_other_race.y","native_hawaiian_and_other_pacific_islander_some_other_race.y","population_of_three_races.y","white_black_or_african_american_american_indian_and_alaska_native.y","white_black_or_african_american_asian.y","white_black_or_african_american_native_hawaiian_and_other_pacific_islander.y","white_black_or_african_american_some_other_race.y","white_american_indian_and_alaska_native_asian.y","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.y","white_american_indian_and_alaska_native_some_other_race.y","white_asian_native_hawaiian_and_other_pacific_islander.y","white_asian_some_other_race.y","white_native_hawaiian_and_other_pacific_islander_some_other_race.y","black_or_african_american_american_indian_and_alaska_native_asian.y","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.y","black_or_african_american_american_indian_and_alaska_native_some_other_race.y","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander.y","black_or_african_american_asian_some_other_race.y","black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race.y","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.y","american_indian_and_alaska_native_asian_some_other_race.y","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.y","asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","population_of_four_races.y","white_black_or_african_american_american_indian_and_alaska_native_asian.y","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander.y","white_black_or_african_american_american_indian_and_alaska_native_some_other_race.y","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander.y","white_black_or_african_american_asian_some_other_race.y","white_black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race.y","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.y","white_american_indian_and_alaska_native_asian_some_other_race.y","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.y","white_asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.y","black_or_african_american_american_indian_and_alaska_native_asian_some_other_race.y","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.y","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","population_of_five_races.y","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander.y","white_black_or_african_american_american_indian_and_alaska_native_asian_some_other_race.y","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race.y","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","population_of_six_races.y","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race.y","total_black.y","total_white.y","white_killed_per_huntho","ratio_bw"
"1","Acadia",2,"57576","55603","44480",9989,"  152","  163","    2","  817"," 1973"," 1846",696,"  389","   67","   16","  580",53,5,0,29,"    0","    0","    3","    0","    3","    5","  119",56,0,1,22,"    3","    0","   29","    0","    2","    1",2,0,0,3,0,0,"    0","    0","    0","    0","    8",0,0,8,0,0,0,"    0","    0","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,10864,"44480",18.4094256259205,2,"57576","55603","44480",9989,"  152","  163","    2","  817"," 1973"," 1846",696,"  389","   67","   16","  580",53,5,0,29,"    0","    0","    3","    0","    3","    5","  119",56,0,1,22,"    3","    0","   29","    0","    2","    1",2,0,0,3,0,0,"    0","    0","    0","    0","    8",0,0,8,0,0,0,"    0","    0","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,10864,44480,4.49640287769784,4.09425625920471
"2","Avoyelles",1,"39693","37886","25625",10706,"  364","  359","    9","  823"," 1807"," 1694",684,"  383","   56","    2","  345",162,7,6,29,"    3","    0","    5","    3","    6","    3","  101",41,2,6,14,"    3","    0","   14","    0","    0","    7",1,0,8,0,0,3,"    1","    0","    1","    0","   10",0,0,1,0,5,0,"    0","    1","    0","    2",0,0,1,0,"    0","    2",2,0,0,0,"    0",0,"    0",0,11678,"25625",8.56311012159616,1,"39693","37886","25625",10706,"  364","  359","    9","  823"," 1807"," 1694",684,"  383","   56","    2","  345",162,7,6,29,"    3","    0","    5","    3","    6","    3","  101",41,2,6,14,"    3","    0","   14","    0","    0","    7",1,0,8,0,0,3,"    1","    0","    1","    0","   10",0,0,1,0,5,0,"    0","    1","    0","    2",0,0,1,0,"    0","    2",2,0,0,0,"    0",0,"    0",0,11678,25625,3.90243902439024,2.19429696865902
"3","Beauregard",1,"36549","34566","29529",4111,"  304","  223","   32","  367"," 1983"," 1835",379,"  717","  145","    9","  509",20,10,0,34,"    3","    0","    1","    7","    1","    0","  128",40,13,1,14,"   10","    4","   26","   11","    2","    0",4,0,2,0,0,1,"    0","    0","    0","    0","   19",7,1,10,0,0,0,"    0","    0","    0","    0",0,0,0,1,"    0","    1",1,0,0,0,"    0",0,"    0",0,4649,"29529",21.5100021510002,1,"36549","34566","29529",4111,"  304","  223","   32","  367"," 1983"," 1835",379,"  717","  145","    9","  509",20,10,0,34,"    3","    0","    1","    7","    1","    0","  128",40,13,1,14,"   10","    4","   26","   11","    2","    0",4,0,2,0,0,1,"    0","    0","    0","    0","   19",7,1,10,0,0,0,"    0","    0","    0","    0",0,0,0,1,"    0","    1",1,0,0,0,"    0",0,"    0",0,4649,29529,3.38650140539808,6.35168853516885
"4","Bossier",1,"128746","119411"," 81052",30099,"   797","  2396","   119","  4948","  9335","  8719",1485,"  2306","   916","    87","  3205",177,159,22,225,"     5","     6","    57","    32","    30","     7","   552",150,76,2,74,"    49","     5","   101","    49","    13","    12",2,2,1,5,10,0,"     1","     0","     0","     0","    64",17,3,34,0,2,3,"     1","     0","     1","     0",0,0,0,3,"     0","     0",0,0,0,0,"     0",0,"     0",0,32551," 81052",3.07210223956253,5,"128746","119411"," 81052",30099,"   797","  2396","   119","  4948","  9335","  8719",1485,"  2306","   916","    87","  3205",177,159,22,225,"     5","     6","    57","    32","    30","     7","   552",150,76,2,74,"    49","     5","   101","    49","    13","    12",2,2,1,5,10,0,"     1","     0","     0","     0","    64",17,3,34,0,2,3,"     1","     0","     1","     0",0,0,0,3,"     0","     0",0,0,0,0,"     0",0,"     0",0,32551,81052,6.16887923802004,0.498000061442045
"5","Caddo",13,"237848","226988","103457",115298,"  1093","  3206","   126","  3808"," 10860"," 10080",2176,"  2566","   717","    69","  3204",536,179,26,513,"    11","     1","    46","    22","     9","     5","   724",281,59,8,132,"    48","     3","   131","    10","     7","     1",0,0,14,21,7,0,"     1","     1","     0","     0","    51",11,0,28,0,2,1,"     1","     0","     0","     0",0,0,0,8,"     0","     4",0,2,0,1,"     1",0,"     1",1,119304,"103457",10.8965332260444,7,"237848","226988","103457",115298,"  1093","  3206","   126","  3808"," 10860"," 10080",2176,"  2566","   717","    69","  3204",536,179,26,513,"    11","     1","    46","    22","     9","     5","   724",281,59,8,132,"    48","     3","   131","    10","     7","     1",0,0,14,21,7,0,"     1","     1","     0","     0","    51",11,0,28,0,2,1,"     1","     0","     0","     0",0,0,0,8,"     0","     4",0,2,0,1,"     1",0,"     1",1,119304,103457,6.76609605923234,1.61046091138125
"6","Calcasieu",6,"216785","204918","139772",55263,"  1100","  3827","   138","  4818"," 11867"," 11020",2419,"  2216","   740","    87","  4337",337,59,17,696,"    13","     4","    45","    20","    21","     9","   751",284,25,3,154,"    36","    11","   160","    20","    13","     0",1,3,27,5,4,5,"     0","     0","     0","     0","    85",14,0,50,1,5,0,"     3","     7","     0","     2",1,2,0,0,"     0","     8",6,2,0,0,"     0",0,"     3",3,59386,"139772",10.1033913717038,1,"216785","204918","139772",55263,"  1100","  3827","   138","  4818"," 11867"," 11020",2419,"  2216","   740","    87","  4337",337,59,17,696,"    13","     4","    45","    20","    21","     9","   751",284,25,3,154,"    36","    11","   160","    20","    13","     0",1,3,27,5,4,5,"     0","     0","     0","     0","    85",14,0,50,1,5,0,"     3","     7","     0","     2",1,2,0,0,"     0","     8",6,2,0,0,"     0",0,"     3",3,59386,139772,0.715450877142775,14.1217121880578
"7","East Baton Rouge",20,"456781","434158","196069",206681,"  1285"," 14499","   121"," 15503"," 22623"," 21183",3492,"  3069","  1679","    70"," 10453",813,363,39,990,"    15","     1","   115","    23","    51","    10","  1296",436,65,16,299,"    51","     4","   253","    35","    69","     5",9,0,27,13,9,5,"     0","     0","     0","     0","   139",30,0,93,1,3,7,"     1","     1","     0","     0",0,3,0,0,"     0","     5",1,3,0,0,"     1",0,"     0",0,213398,"196069",9.37215906428364,1,"456781","434158","196069",206681,"  1285"," 14499","   121"," 15503"," 22623"," 21183",3492,"  3069","  1679","    70"," 10453",813,363,39,990,"    15","     1","   115","    23","    51","    10","  1296",436,65,16,299,"    51","     4","   253","    35","    69","     5",9,0,27,13,9,5,"     0","     0","     0","     0","   139",30,0,93,1,3,7,"     1","     1","     0","     0",0,3,0,0,"     0","     5",1,3,0,0,"     1",0,"     0",0,213398,196069,0.510024532179998,18.3758985557503
"8","Franklin",1,"19774","19195","12492",6554,"   31","   41","    0","   77","  579","  523",185,"  165","   13","    1","  126",16,0,0,9,"    5","    0","    0","    2","    0","    1","   32",5,4,0,0,"    3","    2","    7","    1","    1","    0",0,1,1,3,4,0,"    0","    0","    0","    0","   19",7,0,5,3,0,0,"    4","    0","    0","    0",0,0,0,0,"    0","    2",0,2,0,0,"    0",0,"    3",3,6802,"12492",14.7015583651867,1,"19774","19195","12492",6554,"   31","   41","    0","   77","  579","  523",185,"  165","   13","    1","  126",16,0,0,9,"    5","    0","    0","    2","    0","    1","   32",5,4,0,0,"    3","    2","    7","    1","    1","    0",0,1,1,3,4,0,"    0","    0","    0","    0","   19",7,0,5,3,0,0,"    4","    0","    0","    0",0,0,0,0,"    0","    2",0,2,0,0,"    0",0,"    3",3,6802,12492,8.0051232788985,1.83651867097912
"9","Iberia",1,"69929","66207","39206",23162,"  307"," 1943","    3"," 1586"," 3722"," 3461",955,"  401","  164","   20"," 1638",81,11,6,152,"    0","    0","   26","    3","    1","    3","  238",75,12,8,69,"    2","    0","   60","    5","    4","    0",0,0,3,0,0,0,"    0","    0","    0","    0","   19",0,0,8,1,0,0,"    1","    0","    0","    0",2,7,0,0,"    0","    4",1,3,0,0,"    0",0,"    0",0,24556,"39206",4.07232448281479,2,"69929","66207","39206",23162,"  307"," 1943","    3"," 1586"," 3722"," 3461",955,"  401","  164","   20"," 1638",81,11,6,152,"    0","    0","   26","    3","    1","    3","  238",75,12,8,69,"    2","    0","   60","    5","    4","    0",0,0,3,0,0,0,"    0","    0","    0","    0","   19",0,0,8,1,0,0,"    1","    0","    0","    0",2,7,0,0,"    0","    4",1,3,0,0,"    0",0,"    0",0,24556,39206,5.10126001122277,0.798297768366183
"10","Jefferson",16,"440781","397972","220935",117892,"  2524"," 19780","   152"," 36689"," 42809"," 40608",3516,"  4150","  2579","    94"," 25896",607,271,46,2564,"    48","     3","   519","    62","   182","    71","  1971",438,131,22,439,"   102","    10","   479","    34","   191","    17",4,1,60,5,9,4,"     1","     7","     0","    17","   210",42,0,129,8,3,3,"     4","    13","     1","     0",5,0,0,2,"     0","    20",3,13,0,0,"     4",0,"     0",0,126217,"220935",12.6765808092412,6,"440781","397972","220935",117892,"  2524"," 19780","   152"," 36689"," 42809"," 40608",3516,"  4150","  2579","    94"," 25896",607,271,46,2564,"    48","     3","   519","    62","   182","    71","  1971",438,131,22,439,"   102","    10","   479","    34","   191","    17",4,1,60,5,9,4,"     1","     7","     0","    17","   210",42,0,129,8,3,3,"     4","    13","     1","     0",5,0,0,2,"     0","    20",3,13,0,0,"     4",0,"     0",0,126217,220935,2.71573087107068,4.66783396848285
