Label (Grouping),Louisiana,"Acadia Parish, Louisiana","Allen Parish, Louisiana","Ascension Parish, Louisiana","Assumption Parish, Louisiana","Avoyelles Parish, Louisiana","Beauregard Parish, Louisiana","Bienville Parish, Louisiana","Bossier Parish, Louisiana","Caddo Parish, Louisiana","Calcasieu Parish, Louisiana","Caldwell Parish, Louisiana","Cameron Parish, Louisiana","Catahoula Parish, Louisiana","Claiborne Parish, Louisiana","Concordia Parish, Louisiana","De Soto Parish, Louisiana","East Baton Rouge Parish, Louisiana","East Carroll Parish, Louisiana","East Feliciana Parish, Louisiana","Evangeline Parish, Louisiana","Franklin Parish, Louisiana","Grant Parish, Louisiana","Iberia Parish, Louisiana","Iberville Parish, Louisiana","Jackson Parish, Louisiana","Jefferson Parish, Louisiana","Jefferson Davis Parish, Louisiana","Lafayette Parish, Louisiana","Lafourche Parish, Louisiana","LaSalle Parish, Louisiana","Lincoln Parish, Louisiana","Livingston Parish, Louisiana","Madison Parish, Louisiana","Morehouse Parish, Louisiana","Natchitoches Parish, Louisiana","Orleans Parish, Louisiana","Ouachita Parish, Louisiana","Plaquemines Parish, Louisiana","Pointe Coupee Parish, Louisiana","Rapides Parish, Louisiana","Red River Parish, Louisiana","Richland Parish, Louisiana","Sabine Parish, Louisiana","St. Bernard Parish, Louisiana","St. Charles Parish, Louisiana","St. Helena Parish, Louisiana","St. James Parish, Louisiana","St. John the Baptist Parish, Louisiana","St. Landry Parish, Louisiana","St. Martin Parish, Louisiana","St. Mary Parish, Louisiana","St. Tammany Parish, Louisiana","Tangipahoa Parish, Louisiana","Tensas Parish, Louisiana","Terrebonne Parish, Louisiana","Union Parish, Louisiana","Vermilion Parish, Louisiana","Vernon Parish, Louisiana","Washington Parish, Louisiana","Webster Parish, Louisiana","West Baton Rouge Parish, Louisiana","West Carroll Parish, Louisiana","West Feliciana Parish, Louisiana","Winn Parish, Louisiana"
Total:,"4,657,757","57,576","22,750","126,500","21,039","39,693","36,549","12,981","128,746","237,848","216,785","9,645","5,617","8,906","14,170","18,687","26,812","456,781","7,459","19,539","32,350","19,774","22,169","69,929","30,241","15,031","440,781","32,250","241,753","97,557","14,791","48,396","142,282","10,017","25,629","37,515","383,997","160,368","23,515","20,758","130,023","7,620","20,043","22,155","43,764","52,549","10,920","20,192","42,477","82,540","51,767","49,406","264,570","133,157","4,147","109,580","21,107","57,359","48,750","45,463","36,967","27,199","9,751","15,310","13,755"
    Population of one race:,"4,384,380","55,603","21,679","118,718","20,184","37,886","34,566","12,406","119,411","226,988","204,918","9,301","5,416","8,662","13,741","18,140","25,675","434,158","7,299","18,939","31,181","19,195","21,200","66,207","29,165","14,418","397,972","30,821","227,471","92,250","14,298","46,477","133,278","9,784","24,697","35,633","359,331","153,589","21,534","20,028","123,167","7,275","19,397","20,792","39,443","48,853","10,567","19,713","40,183","79,772","49,734","46,138","242,196","125,921","4,020","102,453","20,308","54,848","44,667","43,664","35,547","25,962","9,421","14,859","13,261"
        White alone,"2,657,652","44,480","16,327","81,141","13,722","25,625","29,529","6,950","81,052","103,457","139,772","7,646","5,232","5,776","7,263","10,275","15,284","196,069","2,054","11,516","21,354","12,492","17,709","39,206","14,833","9,967","220,935","25,066","153,363","71,710","11,348","26,034","116,855","3,475","12,281","19,361","126,462","88,545","14,287","12,395","77,510","4,195","11,785","15,036","24,497","33,550","4,527","9,973","13,877","43,611","33,259","26,949","196,641","81,336","1,744","69,934","14,460","44,477","35,087","29,943","22,735","14,307","7,894","10,883","8,594"
        Black or African American alone,"1,464,023","9,989","4,102","30,521","6,013","10,706","4,111","5,307","30,099","115,298","55,263","1,534",72,"2,297","6,184","7,518","9,621","206,681","5,188","7,139","8,664","6,554","3,108","23,162","13,377","3,956","117,892","5,148","61,086","14,640","1,299","18,729","11,268","6,224","12,048","14,948","208,273","59,083","4,920","7,245","40,484","2,965","7,336","3,529","11,507","13,133","5,861","9,523","24,305","34,360","15,099","15,058","34,356","40,039","2,250","21,253","4,995","7,931","6,491","12,858","12,185","10,754","1,341","3,618","3,525"
        American Indian and Alaska Native alone,"31,657",152,539,513,102,364,304,62,797,"1,093","1,100",19,28,46,43,50,269,"1,285",3,61,57,31,206,307,67,37,"2,524",168,961,"2,554",135,188,463,29,85,326,"1,337",510,285,50,"1,026",47,55,"1,926",323,259,45,34,167,202,202,"1,006","1,184",533,0,"6,070",77,195,566,143,149,85,37,99,77
        Asian alone,"86,438",163,183,"1,709",62,359,223,21,"2,396","3,206","3,827",42,13,28,42,117,99,"14,499",19,48,183,41,67,"1,943",123,149,"19,780",100,"5,268",773,252,685,"1,123",6,96,173,"10,703","2,291","1,053",65,"1,828",1,50,63,997,576,20,31,317,380,441,647,"3,898","1,003",6,"1,322",38,"1,263",888,164,138,220,14,30,173
        Native Hawaiian and Other Pacific Islander alone,"1,911",2,7,33,0,9,32,5,119,126,138,3,1,6,0,0,0,121,0,11,2,0,6,3,13,5,152,14,76,31,10,5,38,5,3,20,147,42,40,2,35,0,0,12,18,20,7,5,12,13,3,13,105,24,1,40,10,13,301,0,12,10,5,5,20
        Some Other Race alone,"142,699",817,521,"4,801",285,823,367,61,"4,948","3,808","4,818",57,70,509,209,180,402,"15,503",35,164,921,77,104,"1,586",752,304,"36,689",325,"6,717","2,542","1,254",836,"3,531",45,184,805,"12,409","3,118",949,271,"2,284",67,171,226,"2,101","1,315",107,147,"1,505","1,206",730,"2,465","6,012","2,986",19,"3,834",728,969,"1,334",556,328,586,130,224,872
    Population of two or more races:,"273,377","1,973","1,071","7,782",855,"1,807","1,983",575,"9,335","10,860","11,867",344,201,244,429,547,"1,137","22,623",160,600,"1,169",579,969,"3,722","1,076",613,"42,809","1,429","14,282","5,307",493,"1,919","9,004",233,932,"1,882","24,666","6,779","1,981",730,"6,856",345,646,"1,363","4,321","3,696",353,479,"2,294","2,768","2,033","3,268","22,374","7,236",127,"7,127",799,"2,511","4,083","1,799","1,420","1,237",330,451,494
        Population of two races:,"255,214","1,846",961,"7,344",811,"1,694","1,835",528,"8,719","10,080","11,020",329,180,228,384,517,"1,035","21,183",125,542,"1,094",523,893,"3,461",995,545,"40,608","1,287","13,325","5,059",442,"1,811","8,624",205,856,"1,663","22,442","6,410","1,813",670,"6,394",289,593,"1,284","4,009","3,470",303,442,"2,194","2,559","1,865","3,079","20,803","6,811",101,"6,648",749,"2,384","3,800","1,700","1,355","1,151",306,401,437
