allegation,allegation_classification,allegation_categories,allegation_categories_description
in service deficiency,Neglect of Duty and Professionalism,Neglect of Duty and Professionalism,"This includes lacking and late paperwork, unbecoming conduct, insubordination, neglect of duty, and similar department standards"
officer involved shooting,Excessive Use of Force,Excessive Use of Force,This includes using physical force or force through a weapon or vehicle
substance abuse,Engaging in Criminal Activity,Engaging in Criminal Activity,"This includes speeding, drinking while on duty, domestic violence, and other unlawful activities"
unauthorized leaving city,Neglect of Duty and Professionalism,Mishandling Evidence,This includes both purposefully and accidently losing or damaging evidence
mishandling of evidence,Mishandling Evidence,Improper Use or Destruction of Equipment,"This includes crashing police vehicles, turning of body cameras, using the internet unprofessionally while on duty, and similar activities"
unauthorized leaving of post,Neglect of Duty and Professionalism,Sexual Misconduct and Harassment,"This includes sexual misconduct, harassment, and abuse within the agency and outside"
disobeying orders,Neglect of Duty and Professionalism,"Improper Stop, Search, or Arrest","This includes conducting stops, searches, and arrests that the police should not be conducting"
social media violation,Neglect of Duty and Professionalism,Other Allegation,This includes allegations that do not fit into the following categories or that do not provide substantive information
unprofessional behavior,Neglect of Duty and Professionalism,Falsifying Statements and Reports,"This includes officers willfuly lying, making false statements, and both purposefully and accidently falsifying documents"
paperwork completion,Neglect of Duty and Professionalism,General Harassment,This includes stereotyping and racial discrimination
general order 107: misuse of equipment,Improper Use or Destruction of Equipment,Racial Profiling and Discrimination,This includes making threats and harassing coworkers or the general public
battery,Excessive Use of Force,,
sexual harassment,Sexual Misconduct and Harassment,,
sick leave violation,Neglect of Duty and Professionalism,,
secondary employment,Neglect of Duty and Professionalism,,
firearms violation,Improper Use or Destruction of Equipment,,
improper custody of inmate,"Improper Stop, Search, or Arrest",,
conduct unbecoming,Neglect of Duty and Professionalism,,
unprofessional talking to public,Neglect of Duty and Professionalism,,
sexual battery,Sexual Misconduct and Harassment,,
pointing weapon,Excessive Use of Force,,
improper sexual conduct,Sexual Misconduct and Harassment,,
general order 121: unit usage,Other Allegation,,
failure to comply with internal affairs,Neglect of Duty and Professionalism,,
failure to complete reports,Neglect of Duty and Professionalism,,
failure to file report,Falsifying Statements and Reports,,
lying during investigation,Falsifying Statements and Reports,,
failure to perform duty,Neglect of Duty and Professionalism,,
contraband in jail,Engaging in Criminal Activity,,
failure to supervise,Neglect of Duty and Professionalism,,
for cause: criminal conviction,Engaging in Criminal Activity,,
simple battery,Excessive Use of Force,,
out of uniform,Neglect of Duty and Professionalism,,
abuse of office or malfeasance,Engaging in Criminal Activity,,
failure to perform duties,Neglect of Duty and Professionalism,,
excessive speed,Neglect of Duty and Professionalism,,
traffic crash,Improper Use or Destruction of Equipment,,
improper use of oc,Improper Use or Destruction of Equipment,,
failure to report to duty,Neglect of Duty and Professionalism,,
failure to properly supervise,Neglect of Duty and Professionalism,,
rude and unprofessional,Neglect of Duty and Professionalism,,
vehicle crash,Improper Use or Destruction of Equipment,,
failure to assist deputy,Neglect of Duty and Professionalism,,
lied on application,Falsifying Statements and Reports,,
failed training period,Neglect of Duty and Professionalism,,
preventable crash,Improper Use or Destruction of Equipment,,
filed false report,Falsifying Statements and Reports,,
sleeping on duty,Neglect of Duty and Professionalism,,
job performance,Neglect of Duty and Professionalism,,
failure to report crash,Falsifying Statements and Reports,,
theft of medicine from jail,Engaging in Criminal Activity,,
sexual misconduct,Sexual Misconduct and Harassment,,
in service deficiency|denied medical waiver,Other Allegation,,
false presentation of statment of fact,Falsifying Statements and Reports,,
unprofessional/improper conduct,Neglect of Duty and Professionalism,,
sleeping while on duty,Neglect of Duty and Professionalism,,
confidentiality violation,Neglect of Duty and Professionalism,,
use of force,Excessive Use of Force,,
excessive use of force,Excessive Use of Force,,
damaged property during vehicle search,Improper Use or Destruction of Equipment,,
unlawful arrest,"Improper Stop, Search, or Arrest",,
