action,action_classification,action_categories,action_categories_description
decertified,Decertification,Decertification,This includes any officer who was decertified
3-day suspension,Suspension,Suspension,This includes any officer who received a suspension
unknown,Other Repercussion,Other Repercussion,This includes repercussions that did not fit into the categories given or that were not clear
1-day suspension,Suspension,Written or Verbal Reprimand,"This includes anyone who received written or verbal warnings, reprimand, conferences, or similar repercussions"
written warning,Written or Verbal Reprimand,Pending,This includes any repercussion noted as pending
letter in file,Other Repercussion,Termination,This includes any officer who was terminated
2-day suspension,Suspension,Resignation,This inlcudes any officer who resigned or quit
pending,Pending,Counseling,This includes any officer undergoing counseling
terminated,Termination,Training,This includes any officer undergoing training
4-day suspension,Suspension,Loss of Unit Privileges,This includes losing vehicle or other unit privledges
terminated; resigned,Termination,Demotion,This includes any officer who was demoted
letter of reprimand,Written or Verbal Reprimand,None,This includes all officers who recieved no repercussion
resigned,Resignation,Transfer,This includes all officers who were transfered
5-day suspension,Suspension,Pay Reduction,This includes all officers who recieved pay reductions
letter of caution,Written or Verbal Reprimand,Arrest,This includes all officers who were arrested
counseled,Counseling,,
oral reprimand,Written or Verbal Reprimand,,
letter of caution/8-hour driving school,Training,,
termination,Termination,,
80-day suspension,Suspension,,
tactical training in reasonable suspicion & felony stops,Training,,
60-day rule,Other Repercussion,,
letter of reprimand/good samaritan law training,Written or Verbal Reprimand,,
21-day suspension,Suspension,,
9-day suspension,Suspension,,
7-day suspension,Suspension,,
conference worksheet,Other Repercussion,,
8-hour driving school/45-day loss of unit,Loss of Unit Privileges,,
demotion - from sgt. to cpl.,Demotion,,
letter of reprimand;7-day loss of unit,Loss of Unit Privileges,,
60-day suspension,Suspension,,
letter of reprimand/8-hour driving school/5-day loss of unit,Loss of Unit Privileges,,
10-day suspension,Suspension,,
not sustained,Other Repercussion,,
hold in abeyance,Other Repercussion,,
dmvr,Other Repercussion,,
investigation termination,Other Repercussion,,
30-day suspension/90-dayloss of unit/90-day exduty loss,Suspension,,
letter of reprimand;counseling,Counseling,,
30-day suspension,Suspension,,
28-day suspension,Suspension,,
letter of reprimand;10-day loss of unit,Loss of Unit Privileges,,
15-day suspension,Suspension,,
charges dismissed,None,,
letter of reprimand;vehicle suspension 15-day,Written or Verbal Reprimand,,
letter of instruction,Written or Verbal Reprimand,,
10-day suspension/letter of reprimand/letter of caution,Suspension,,
20-day suspension,Suspension,,
90-day suspension,Suspension,,
transferred,Transfer,,
deferred/handled upon rehire,Other Repercussion,,
1-day suspension/15-day loss of unit,Suspension,,
letter of reprimand/10-day loss of unit,Loss of Unit Privileges,,
65-day suspension,Suspension,,
resigned in lieu of termination,Resignation,,
8-day suspension,Suspension,,
letter of reprimand/8-hour driving school/10-day loss of unit,Loss of Unit Privileges,,
letter of reprimand a,Written or Verbal Reprimand,,
mandatory accident and de-escalation training,Training,,
90-day suspension/demotion,Suspension,,
verbal reprimand,Written or Verbal Reprimand,,
exonerated; not sustained,None,,
21-day suspension/30-day loss of unit,Suspension,,
letter of reprimand/5-day loss of unit,Loss of Unit Privileges,,
letter of reprimand/8-hour driving school,Written or Verbal Reprimand,,
1-day suspension;dock vacation day for leave,Suspension,,
letter of reprimand/60-day suspension,Written or Verbal Reprimand,,
letter of caution; 1 day driving school,Training,,
peer intervention training,Training,,
letter of instruction;attend class,Training,,
letter of caution;15-day loss of unit,Loss of Unit Privileges,,
letter of reprimand;vehicle use suspension,Written or Verbal Reprimand,,
office investigation,Other Repercussion,,
letter of reprimand;loss of unit,Loss of Unit Privileges,,
25-day suspension,Suspension,,
letter of reprimand;5-day loss of unit,Loss of Unit Privileges,,
1-day driving school,Written or Verbal Reprimand,,
65-day suspension/demotion,Suspension,,
investigation,Other Repercussion,,
"de-escalation, r/s & p/c training; uof training",Training,,
verbal counseling,Counseling,,
exonerated,None,,
mandatory roll call training on crime scene securing witnesses letter of instruction mandatory,Written or Verbal Reprimand,,
counseled on camera use,Counseling,,
1-day suspension;letter of reprimand,Written or Verbal Reprimand,,
letter of caution/8-hour driving school/30-day loss of unit,Loss of Unit Privileges,,
1-day suspension/60-day loss of unit,Suspension,,
5-day-suspension,Suspension,,
cit training,Training,,
letter of reprimand remedial training duke,Written or Verbal Reprimand,,
70-day suspension/30-day loss of unit,Suspension,,
expunged,None,,
letter of caution/8-hour driving school/5-day loss of unit,Training,,
letter of reprimand/20-day loss of unit,Written or Verbal Reprimand,,
letter of reprimand;20-day vehicle suspension,Written or Verbal Reprimand,,
"chief""s - original file",Other Repercussion,,
edwards 5-day suspension;napd training; wenneman,Suspension,,
tj morse sustained lor;nporter,Other Repercussion,,
5-day without pay,Suspension,,
verbal conference,Written or Verbal Reprimand,,
21 day suspension/30-day loss of unit,Suspension,,
15-day loss of unit for no dmvr,Other Repercussion,,
82-day suspension;contract,Suspension,,
letter of instruction/mandatory crime scene and securing witnesses training letter of instruction,Training,,
roll call training on crime scene securing witnesses,Training,,
verbal judo training,Training,,
intelligence report,Other Repercussion,,
5-day loss of unit,Other Repercussion,,
1-day suspension;15-day loss of unit;driving school,Suspension,,
