Category,Key Term,Description
Allegation,Abuse of Position,Involves officers using their authority or position for personal gain or to exploit others.
Allegation,Adherence to Law,A claim that an officer failed to follow and uphold the law in their actions.
Allegation,Alcohol and Substance Abuse,"Involves issues of substance dependency that can impact an officer's performance and behavior, including drinking on the job, stealing drugs, and other similar misconduct."
Allegation,Allegation,A legal claim made by an individual or entity that a specific incident of police misconduct or violence has occurred. Allegations serve as the initial reports of potential wrongdoing and are subject to investigation to determine their accuracy.
Allegation,Domestic Violence,Relates to instances of officers engaging in abusive behavior within their relationships.
Allegation,Falsifying Statements and Reports,"This includes lying, being untruthful, and fabricating documents with the intent to deceive."
Allegation,Harassment,"Involves officers engaging in unwelcome behavior or actions intended to intimidate, annoy, or create a hostile environment for individuals."
Allegation,Improper Use of Equipment,"This refers to instances where law enforcement tools or equipment are used inappropriately or against established guidelines, including but not limited to turning off their body camera, crashing fleet vehicles, and other inappropriate uses of equipment."
Allegation,Intimidation,"This signifies behaviors that instill fear or distress in individuals, including harassment, making threats, and often exploiting the power dynamic between officers and the public."
Allegation,Miscellaneous Allegation,A generic category for allegations that do not fit into specific predefined categories.
Allegation,Mishandling Evidence,"Negligent or deliberate mishandling of evidentiary materials and property, potentially compromising the integrity of a case or investigation."
Allegation,Neglect of Duty,"Involves officers failing to fulfill their assigned responsibilities or duties, potentially resulting in a lack of protection and service to the community."
Allegation,Performance of Duty,"Involves allegations related to an officer's performance of their assigned duties, including failure to act in accordance with their responsibilities."
Allegation,Professionalism,Relates to allegations regarding an officer's professional behavior while on duty.
Allegation,Profiling,This signifies the practice of targeting individuals based on certain characteristics rather than evidence of wrongdoing.
Allegation,Relations,"Involves allegations related to an officer's interactions or relationships with other individuals, including conflicts, fraternization, and other inappropriate behavior."
Allegation,Reports,Refers to allegations related to filing reports or documents as part of their duties.
Allegation,Sexual Assault,"Refers to instances of non-consensual sexual contact, including rape and battery, involving an officer as the perpetrator."
Allegation,Sexual Harassment,"Pertains to unwelcome sexual advances, comments, or behaviors creating a hostile environment. This can be both within and outside of the law enforcement agency."
Allegation,Unbecoming Conduct,Involves allegations of behavior unbecoming of an officer contrary to the expected standards of conduct for law enforcement personnel.
Allegation,Use of Force,"Pertains to situations where law enforcement officers apply physical or non-physical coercion during interactions with individuals, potentially raising concerns of excessive or unjustified actions."
Allegation,Wrongful Interference,"This signifies officers making wrongful searches, seizures, and arrests, potentially violating the rights of individuals and interfering with their legal protections."
Disposition,Admin Review,A review conducted by administrative personnel to assess the handling of a case or investigation.
Disposition,Cancelled,The case or investigation has been terminated without a resolution or disposition.
Disposition,Disposition,"The outcome or conclusion of an investigation into an allegation of police misconduct or violence, indicating whether or not the allegations were substantiated and leading to subsequent actions or consequences."
Disposition,Hearing,"A formal proceeding to review evidence and statements related to the case, typically to determine the appropriate disposition or resolution."
Disposition,Miscellaneous Disposition,A generic category for dispositions or outcomes of cases that do not fit into specific predefined categories.
Disposition,Not Sustained,"A determination made after investigation that there is insufficient evidence to prove or disprove the allegation of police misconduct or violence. In such cases, the claim remains unresolved due to a lack of conclusive evidence."
Disposition,Office Investigation,An investigation conducted within the law enforcement agency or department to review allegations and determine the appropriate disposition or resolution.
Disposition,Pending Disposition,"The case is currently under review, and a final disposition has not yet been determined."
Disposition,Settlement Negotiation,"The parties involved are in negotiations to reach a settlement or resolution for the case, often involving compensation or other terms."
Disposition,Sustained,A finding that an allegation of police misconduct or violence is supported by sufficient evidence and is deemed to be true after investigation. A sustained allegation indicates the reported incident occurred as described.
Disposition,Unfounded,A conclusion reached after investigation that the reported allegation of police misconduct or violence is false or without merit. Unfounded allegations indicate that the incident in question did not occur as described.
Disposition,Unsustained,"A disposition indicating that the allegation of police misconduct or violence could not be substantiated due to insufficient evidence or conflicting information, and no determination of its validity or falsehood has been made."
Disposition,Withdrawn,An allegation of police misconduct or violence that was initially reported but is later retracted or voluntarily withdrawn by the individual who made the allegation. Withdrawn allegations may or may not have been investigated before being withdrawn.
General,Consent Decree,"A legally binding agreement between a law enforcement agency and an oversight entity. It outlines specific reforms and measures that the agency must undertake to rectify identified problems and improve its practices, often under the supervision of an independent monitor."
General,Misconduct,"In the context of law enforcement, misconduct refers to behavior that violates established codes of conduct, ethical standards, or laws by individuals working in law enforcement roles. Misconduct can encompass a wide range of behaviors, including abuse of power, excessive use of force, corruption, and breaches of professional ethics."
